,category_total,total_spend_f5,other_spend_f7,airlines_f6,lodging_f9,dining_f10,revolve_f1,lend_line_f17,consumer_line_f18,lend_total_f17_f18,points_redeemed_f21,points_balance_f4,logins_f12,relationship_f19_f20,pnl_composite_v1,revenue_only
category_total,1.0,0.011,0.903,0.851,0.748,0.892,-0.072,0.005,0.0,0.005,0.224,0.291,0.132,-0.061,0.865,0.794
total_spend_f5,0.011,1.0,-0.019,0.033,0.03,-0.008,0.035,0.111,0.098,0.11,0.072,0.103,-0.054,0.066,0.04,0.068
other_spend_f7,0.903,-0.019,1.0,0.639,0.594,0.803,-0.042,0.005,0.001,0.005,0.215,0.27,0.117,-0.06,0.779,0.727
airlines_f6,0.851,0.033,0.639,1.0,0.789,0.764,-0.097,0.0,-0.003,0.001,0.169,0.218,0.157,-0.042,0.738,0.66
lodging_f9,0.748,0.03,0.594,0.789,1.0,0.722,-0.037,-0.025,-0.024,-0.024,0.168,0.213,0.097,-0.078,0.643,0.591
dining_f10,0.892,-0.008,0.803,0.764,0.722,1.0,-0.041,-0.012,-0.011,-0.011,0.181,0.226,0.122,-0.098,0.777,0.714
revolve_f1,-0.072,0.035,-0.042,-0.097,-0.037,-0.041,1.0,-0.003,0.005,-0.002,-0.028,-0.11,-0.071,0.017,0.17,0.351
lend_line_f17,0.005,0.111,0.005,0.0,-0.025,-0.012,-0.003,1.0,0.933,0.997,0.112,0.133,0.2,0.735,0.311,0.414
consumer_line_f18,0.0,0.098,0.001,-0.003,-0.024,-0.011,0.005,0.933,1.0,0.954,0.096,0.117,0.178,0.677,0.302,0.396
lend_total_f17_f18,0.005,0.11,0.005,0.001,-0.024,-0.011,-0.002,0.997,0.954,1.0,0.109,0.131,0.197,0.73,0.314,0.416
points_redeemed_f21,0.224,0.072,0.215,0.169,0.168,0.181,-0.028,0.112,0.096,0.109,1.0,0.558,-0.0,0.094,0.0,0.218
points_balance_f4,0.291,0.103,0.27,0.218,0.213,0.226,-0.11,0.133,0.117,0.131,0.558,1.0,-0.11,0.093,0.171,0.249
logins_f12,0.132,-0.054,0.117,0.157,0.097,0.122,-0.071,0.2,0.178,0.197,-0.0,-0.11,1.0,0.271,0.162,0.16
relationship_f19_f20,-0.061,0.066,-0.06,-0.042,-0.078,-0.098,0.017,0.735,0.677,0.73,0.094,0.093,0.271,1.0,0.152,0.253
pnl_composite_v1,0.865,0.04,0.779,0.738,0.643,0.777,0.17,0.311,0.302,0.314,0.0,0.171,0.162,0.152,1.0,0.926
revenue_only,0.794,0.068,0.727,0.66,0.591,0.714,0.351,0.414,0.396,0.416,0.218,0.249,0.16,0.253,0.926,1.0
