,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
f1,1.0,-0.26,0.308,-0.13,0.035,-0.028,0.051,0.054,0.03,0.064,0.577,-0.091,-0.079,-0.135,-0.107,0.019,-0.186,-0.179,0.023,-0.014,0.03,0.058,-0.002
f2,-0.26,1.0,-0.158,-0.092,-0.005,-0.24,-0.262,-0.226,-0.23,-0.296,-0.176,0.088,-0.073,-0.005,-0.08,-0.462,0.071,0.075,0.034,0.021,-0.031,-0.032,-0.029
f3,0.308,-0.158,1.0,-0.095,0.011,-0.031,-0.015,-0.019,-0.025,-0.023,0.454,-0.071,-0.151,-0.191,-0.224,-0.378,-0.236,-0.25,0.047,0.04,-0.017,0.069,0.012
f4,-0.13,-0.092,-0.095,1.0,0.029,0.239,0.273,0.179,0.202,0.212,-0.245,-0.039,0.03,0.07,0.023,0.112,0.154,0.131,-0.053,0.087,-0.036,0.041,0.074
f5,0.035,-0.005,0.011,0.029,1.0,0.048,-0.027,-0.008,0.042,-0.017,-0.046,-0.068,0.041,0.039,0.014,0.002,0.123,0.112,0.072,-0.011,0.022,0.086,0.021
f6,-0.028,-0.24,-0.031,0.239,0.048,1.0,0.465,0.545,0.713,0.585,-0.24,0.07,0.258,0.331,0.254,0.2,0.106,0.116,-0.157,-0.062,0.177,0.022,0.035
f7,0.051,-0.262,-0.015,0.273,-0.027,0.465,1.0,0.612,0.469,0.703,-0.185,0.025,0.083,0.114,0.127,0.191,0.086,0.096,-0.187,-0.121,0.228,0.031,0.074
f8,0.054,-0.226,-0.019,0.179,-0.008,0.545,0.612,1.0,0.547,0.7,-0.143,0.037,0.167,0.192,0.228,0.174,0.063,0.079,-0.177,-0.106,0.17,0.018,0.029
f9,0.03,-0.23,-0.025,0.202,0.042,0.713,0.469,0.547,1.0,0.609,-0.175,0.009,0.185,0.208,0.18,0.177,0.078,0.097,-0.164,-0.095,0.159,0.011,0.035
f10,0.064,-0.296,-0.023,0.212,-0.017,0.585,0.703,0.7,0.609,1.0,-0.159,0.012,0.153,0.179,0.271,0.219,0.06,0.077,-0.235,-0.189,0.187,0.005,0.038
f11,0.577,-0.176,0.454,-0.245,-0.046,-0.24,-0.185,-0.143,-0.175,-0.159,1.0,-0.019,-0.171,-0.244,-0.226,-0.175,-0.355,-0.38,0.131,0.1,-0.027,0.093,0.008
f12,-0.091,0.088,-0.071,-0.039,-0.068,0.07,0.025,0.037,0.009,0.012,-0.019,1.0,0.133,0.201,0.216,-0.009,0.122,0.09,0.253,0.208,0.087,0.108,0.067
f13,-0.079,-0.073,-0.151,0.03,0.041,0.258,0.083,0.167,0.185,0.153,-0.171,0.133,1.0,0.267,0.273,0.188,0.101,0.109,-0.01,-0.011,0.023,0.009,-0.019
f14,-0.135,-0.005,-0.191,0.07,0.039,0.331,0.114,0.192,0.208,0.179,-0.244,0.201,0.267,1.0,0.353,0.171,0.136,0.138,0.026,0.004,0.076,0.036,-0.011
f15,-0.107,-0.08,-0.224,0.023,0.014,0.254,0.127,0.228,0.18,0.271,-0.226,0.216,0.273,0.353,1.0,0.278,0.133,0.143,0.014,-0.021,0.058,0.035,-0.036
f16,0.019,-0.462,-0.378,0.112,0.002,0.2,0.191,0.174,0.177,0.219,-0.175,-0.009,0.188,0.171,0.278,1.0,0.103,0.114,-0.059,-0.04,0.031,-0.021,0.002
f17,-0.186,0.071,-0.236,0.154,0.123,0.106,0.086,0.063,0.078,0.06,-0.355,0.122,0.101,0.136,0.133,0.103,1.0,0.923,0.337,0.027,0.095,0.122,0.059
f18,-0.179,0.075,-0.25,0.131,0.112,0.116,0.096,0.079,0.097,0.077,-0.38,0.09,0.109,0.138,0.143,0.114,0.923,1.0,0.216,-0.038,0.077,0.072,0.031
f19,0.023,0.034,0.047,-0.053,0.072,-0.157,-0.187,-0.177,-0.164,-0.235,0.131,0.253,-0.01,0.026,0.014,-0.059,0.337,0.216,1.0,0.539,0.023,0.303,0.092
f20,-0.014,0.021,0.04,0.087,-0.011,-0.062,-0.121,-0.106,-0.095,-0.189,0.1,0.208,-0.011,0.004,-0.021,-0.04,0.027,-0.038,0.539,1.0,0.087,0.189,0.079
f21,0.03,-0.031,-0.017,-0.036,0.022,0.177,0.228,0.17,0.159,0.187,-0.027,0.087,0.023,0.076,0.058,0.031,0.095,0.077,0.023,0.087,1.0,0.083,0.07
f22,0.058,-0.032,0.069,0.041,0.086,0.022,0.031,0.018,0.011,0.005,0.093,0.108,0.009,0.036,0.035,-0.021,0.122,0.072,0.303,0.189,0.083,1.0,0.279
f23,-0.002,-0.029,0.012,0.074,0.021,0.035,0.074,0.029,0.035,0.038,0.008,0.067,-0.019,-0.011,-0.036,0.002,0.059,0.031,0.092,0.079,0.07,0.279,1.0
